Dr.S.Anandamurugan,Associate Professor & Head,https://docs.google.com/document/d/e/2PACX-1vTM2bzW3h63S9l0bUUCP7BY9dsIcjlfc-vhZoETlKt7T8Z21tvFIy3rfrTU7u5C2UuBm8LVyBmUzkrF/pub
Dr.S.Varadhaganapathy,Professor,https://docs.google.com/document/d/e/2PACX-1vQVJx3hVq0fkkUfEK9OsZ_xXXRR_pZfOnbetSNpjYwqqD40zCKzxHiR6qlxmQ23XQ/pub
Dr.J.Premalatha,Professor,https://docs.google.com/document/d/e/2PACX-1vRABDEp5EIilagMGb6cvDJ9mm0Oln2zFZjhtdYK4jArHib9T26gLdI60Cq3PuKDxaDgchm_XAS19_Sz/pub
Dr.G.K.Kamalam,Associate Professor,https://sites.google.com/kongu.edu/dr-g-k-kamalam
Dr.T.Abirami,Associate Professor,https://sites.google.com/kongu.edu/abirami/kec-faculty-profile
Dr.R.Shanthakumari,Associate Professor,https://sites.google.com/a/kongu.edu/rsk_shan
Dr.E.M.Roopa Devi,Associate Professor,https://sites.google.com/a/kongu.edu/roopadevi
Mr.D. Vijay Anand,Assistant Professor (SLG),https://sites.google.com/a/kongu.edu/erovijay
Mr.S.Vinothkumar,Assistant Professor (SRG),https://docs.google.com/document/d/e/2PACX-1vQUxVfeIZe96zGLjWVoE9XCmp1A6rvuY4rRhbeOo1j2Zq-_KDwaqWB7pIEkqJknPg/pub
Mr.A.P.Ponselvakumar,Assistant Professor (SRG),https://sites.google.com/a/kongu.edu/ponselvait
Mr.A.Jeevanantham,Assistant Professor,https://sites.google.com/a/kongu.edu/jeeva
Ms.V.Devisurya,Assistant Professor,https://docs.google.com/document/d/1sJnJE6b1KyiEUr6PIQQKjpKjUevSveSc/edit?usp=sharing&ouid=101749622957496271129&rtpof=true&sd=true
Ms.R.Aarthi,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vS0IaD0uXWjrZsQz0Tqbtktjdt9KLkGBU8MGeTJfe04IDZPf93Xo5k1h45QRyIX_Q/pub
Ms.K.Sruthi,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vQoQ5ahSiD9peJJyiMwWM67jEU2ll_FNfWFqWf3ZMqwnurAD8-Tq8mPWNL2zNrqwQ/pub
Ms.S.Kavithra,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vQ8pcKfClJu1MBB2DVLrUc0EkhXoRfnYxWxHUnibstLDcD8mwe_JjqX7N5c6bMcuw/pub
Ms.R.Sandhiya,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vSiZpbCvAP9C5vM4Vu-ZqJxJtLZ0oONbTMUm1jmkD1j3b3yIx08GJEN2IuC_fTmYA/pub
Ms.V.P.Gayathri,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vTr3fcH-SMJOHWgoU1nAUesMyurBv1uKemuoZHTglbZKqfKK9YLIolTGNiWINJ8LsYbxna7R72zNAKh/pub
Ms.P.Vanitha,Assistant Professor,https://sites.google.com/kongu.edu/vanitha-it/
Ms.A.Deenu Mol,Assistant Professor,https://sites.google.com/kongu.edu/deenumol-it
Dr.S.Subashini,Assistant Professor,https://sites.google.com/kongu.edu/drsubashinis
Ms.T.Vaishnavi,Assistant Professor,https://docs.google.com/document/d/11tiLbO6rNbqHFQTk3-qlbLMMjDkE8pQI/edit
Ms. S.Krishnaveni,Assistant Professor,https://docs.google.com/document/d/e/2PACX-1vTn3pfBrAvSd9GtqegldammAwHIe1u2UrZSFltkoI9W5m-vlBfP0CMQs5MCG0JNWQ/pub
Dr.C.Chellappan,Adjunct Professor,https://docs.google.com/document/d/e/2PACX-1vSkz7n0wWxF52gRaEjeabRJFhZoWhWn1NoFnHRzXSA3fbv5lVIsN7ZMR56Zz-siGQ/pub
